,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA
Q001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q002,0.34027884738051384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q003,0.37976205283899367,0.24263200715006888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q004,0.2545181741119848,0.3446466790420559,0.4146067159557097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q005,0.057395739976552174,0.05762210650309931,0.06147094169091226,0.05599215460712191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q006,0.23742882014416716,0.21341076200610937,0.3203704715772432,0.30214460426641104,0.05649073873264686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q007,0.17025895138928374,0.15113742919023612,0.2136681484687077,0.21014645179472594,0.046454344397258845,0.2944671955140485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q008,0.24030453742441588,0.2175739311844687,0.27614646940529186,0.2568017104130915,0.091580863678013,0.3779172306885421,0.2742057973337531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q009,0.156978701627221,0.15177257455984078,0.17151049958694248,0.1609717262800336,0.207800261884253,0.26600569499801674,0.1686622353908841,0.3480842827009411,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q010,0.21212562011889913,0.2032286555728393,0.23911023163288753,0.22441342746114923,0.12342461663656057,0.3570533650857939,0.2068355067633334,0.31134941952762846,0.25068033378314336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q011,0.03473128338375695,0.018184189857834723,0.06454273401892062,0.05517848394916229,0.06263202393438383,0.058746972557912835,0.028460247621441313,0.04709333912911675,0.08215122833303447,0.06675340103308454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q012,0.10063654178409541,0.09077320210299931,0.11893748780255474,0.10983942464518259,0.07052485566245897,0.17988996181726521,0.1413052751617552,0.24031196695296386,0.19904390611200468,0.18614263909317458,0.055114117670743666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q013,0.1444591155202103,0.1316394917724939,0.16188714917699848,0.1522878357590575,0.0632124461570553,0.22857214210125634,0.14065886964215066,0.2185005693588096,0.17572940578799942,0.21907546176324016,0.04851701134769555,0.3160235434243687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q014,0.1635581107848698,0.15101426465423412,0.18649944008788982,0.18541705666827682,0.07383216509921973,0.2604361503658473,0.09580692143255966,0.20637892204752328,0.17874471971808725,0.24155909984061494,0.07707882898320724,0.16927896884320745,0.2175107692062717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q015,0.0921157805946525,0.0813622191431415,0.10486118469157099,0.09806885198588886,0.04502277877371973,0.14703087071081797,0.1010591659574631,0.12545509933188478,0.10097867552547624,0.13610597872435426,0.08853297741263887,0.12169725416562518,0.16559244484361238,0.33558728654303205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q016,0.15938476408971053,0.14675955486016726,0.18128769147957152,0.17507636101215293,0.07436117137165539,0.24801024502021465,0.11766246428873657,0.2108836139691554,0.16835326098184808,0.23585579053399294,0.07012484801528336,0.1963532820537366,0.22293475381451958,0.30336214178718374,0.2409857846443346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q017,0.11771237691208986,0.09451231441912838,0.13534476267864198,0.12250100481250052,0.04515886077461538,0.1807244874753168,0.15088905265542613,0.16758665837468434,0.09687220645531142,0.13668928757260798,0.08784772127729647,0.1257267045059276,0.1235979601398543,0.23716768366110377,0.3378129481026146,0.26241205708868637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q018,0.3650618722673594,0.3228286514105252,0.38874467827696024,0.3566407785394124,0.1320252794218099,0.5372694250890191,0.2350403638659346,0.45411270567896067,0.3194926828818673,0.48709890993984506,0.04435907319951396,0.24092458923013674,0.3662693002254807,0.38783055097721975,0.25685443993263,0.4149670722560183,0.23425951235862721,0.9999992806236674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q019,0.19740361070588536,0.1752140135557017,0.22766832020051941,0.20872737388988988,0.11526601475794825,0.32104544971175175,0.21211592643225183,0.32665090426258,0.25224115166362715,0.2746211876211421,0.04173164301379152,0.22168704245484733,0.21873551429080393,0.2065403728319871,0.126502697474952,0.2277752691183453,0.1311125993953344,0.46685663877820166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q020,0.17491575664303555,0.1392490422147647,0.1868554519126804,0.1652423131173333,0.07677936868295845,0.25281025913452054,0.15336472054061584,0.2368165905138616,0.18509309483609276,0.2150155295731579,0.03747990698302605,0.16136857411464886,0.20776577908619795,0.16414467331907187,0.14174927118720673,0.18841716952609114,0.14172013526704366,0.2439691755205927,0.27388645791111926,0.9999988609468501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q021,0.3009648687824147,0.27323296812461784,0.3332533230239728,0.31281921280712066,0.10757378499058315,0.44719524928760407,0.25440349153556757,0.3845560872840942,0.29502748675765944,0.3674077973784111,0.052646388211956587,0.21640065729106406,0.2965443939175887,0.30012758728590466,0.2176180536596452,0.3078545211940953,0.18333337419465323,0.34296053410178057,0.4143651613272349,0.21006404707093743,0.9999992391534159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q022,0.16686478454230044,0.1570701604553977,0.1761682745858037,0.16596336537109574,0.3319993113935398,0.27908419051824335,0.10377504575269283,0.2323619032103451,0.2938717716139345,0.2458157215340698,0.08064196418329753,0.14814111600801794,0.18316042300566182,0.20109826511745854,0.10148647746231818,0.17774559657112413,0.06780278013873631,0.333017919115785,0.24373547894435138,0.19220061532452726,0.3071774526492703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q023,0.1823377942596502,0.15227792391931233,0.1954999771582963,0.17800833438157312,0.07123318101570199,0.2536606478919545,0.13284924364158954,0.22971777198374407,0.16680082701506446,0.2196624327941572,0.04456126998219912,0.13551165319314984,0.17248507598197,0.18376387129900834,0.09762938789893559,0.19427178392901706,0.12011021774148796,0.21703111504287775,0.24539689542894885,0.1659379680954444,0.20306802882961014,0.15289465674573785,0.9999984492377838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q024,0.2571837987554999,0.2334390779378363,0.26833085385516703,0.2538451831651364,0.08784532461556997,0.37735081096989426,0.20713610838460086,0.3033023077030167,0.21548390083519842,0.27939954878125395,0.036323343095772606,0.14965513613649217,0.20068186391775403,0.21970188973730084,0.13123402684840502,0.22064766062157942,0.15283821299348116,0.49346817370245677,0.28326413631652936,0.2643040369278618,0.37724906270337083,0.2243526862661972,0.24814359428379468,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q025,0.19329334561164105,0.19377308951540592,0.21555168651742745,0.21938944531606108,0.10523590247383757,0.32187212731671694,0.05424549211562049,0.25157246063160593,0.2777870752609583,0.24583152856487253,0.07745379270977425,0.21037314419795433,0.2042530542284014,0.2833683647812954,0.10038001847133167,0.252166112912977,0.051537497711834857,0.16613656125227577,0.24774211433514393,0.07507151938597734,0.15066085231562948,0.3446151152176246,0.0892858185147274,0.27463435141264675,0.999998527945311,0.0,0.0,0.0,0.0,0.0
TP_FAIXA_ETARIA,0.13068157460624374,0.15349557485109522,0.11201091891606475,0.11855326569143856,0.07267552181880703,0.0666870020084052,0.08956626981369505,0.12587981145409008,0.1296406722699547,0.13949635083641454,0.03877556097369216,0.06168720869849041,0.10982435667809243,0.08628750096869184,0.05758787532034908,0.08866028962323926,0.04937773969978676,0.19108433043544326,0.11309218847976013,0.12221929587918168,0.2032553251226959,0.14859128564345633,0.08430513773501655,0.09102315169545525,0.08565602710666231,1.0,0.0,0.0,0.0,0.0
TP_SEXO,0.06848005720684362,0.07204570269853361,0.06182473689576957,0.0672739395570524,0.043549922334164444,0.10811030378343751,0.0260914913886512,0.06810954480643727,0.05673875814709019,0.06710234241930582,0.04846639140078925,0.04180296765462149,0.03858604133838454,0.07417889514019853,0.038099138169752335,0.06688989731202868,0.040252002369475647,0.058687765518319036,0.08596728344632826,0.02849558308045539,0.028934554715447258,0.056432547063479055,0.03234946617333136,0.11253738569615135,0.037652772767514414,0.0352987702436551,0.9999994642839513,0.0,0.0,0.0
TP_ESTADO_CIVIL,0.08012975155201876,0.09971922344233071,0.046564752518569334,0.050900922831804175,0.06751513720847221,0.026179038387479585,0.017292453255295052,0.028841081018217935,0.051173140282871205,0.02680778919610972,0.016249070991420343,0.01797525197062369,0.04314869542639838,0.011966455399247395,0.01715372257298563,0.01579009532882197,0.007996049787993585,0.030178464293502457,0.033205275216255575,0.03683936064680167,0.04488070067828302,0.08023990317607843,0.025022525614530552,0.020350079301789833,0.013180768300099642,0.27647327355061746,0.01781502587366747,1.0,0.0,0.0
TP_COR_RACA,0.11461745995249074,0.10725526579126182,0.12022871256881669,0.11506212364854333,0.051400665289730314,0.14742973778910048,0.07808039921856702,0.13306512107114563,0.09256104911030594,0.1533662483952649,0.029785037075940816,0.06668575101828784,0.11447887741386692,0.1284480978271049,0.0636797624257333,0.13369903633727512,0.060876451234194544,0.28744372018967523,0.12351561741518603,0.10968397900675224,0.1772931424817698,0.09166017739563151,0.1184933867616748,0.14405650028613395,0.1357290684561202,0.07721386815525005,0.020344106687544623,0.04249084232627242,1.0,0.0
TP_ESCOLA,0.20179796990599425,0.19249101327428153,0.20923133660042156,0.19395176442666212,0.11694590939902672,0.24228820170834303,0.13817885084049805,0.2073076691172059,0.12409479418230611,0.17459000009055842,0.04406937504063884,0.08687482657871393,0.11712749302814505,0.11346573434568616,0.07508245316821635,0.12618037961369735,0.10176030061163448,0.21935568849198442,0.18536402656007162,0.10921192704728479,0.18989267770111906,0.1172247802366099,0.11873982961893456,0.20649064438473547,0.077775486872379,0.47643174872165234,0.047722681969917476,0.10432382597893809,0.10453483089610799,0.9999999999999998
